Date,Confirmed,Deaths,Recovered,Active,New Cases,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,No. of Countries
2/3/20,19887,426,623,18838,0,2.14,3.13,68.38,25
2/4/20,23898,492,852,22554,4011,2.06,3.57,57.75,26
2/5/20,27643,564,1124,25955,3745,2.04,4.07,50.18,26
2/6/20,30803,634,1487,28682,3160,2.06,4.83,42.64,26
2/7/20,34396,719,2011,31666,3593,2.09,5.85,35.75,27
2/8/20,37130,806,2616,33708,2734,2.17,7.05,30.81,27
2/9/20,40160,906,3244,36010,3030,2.26,8.08,27.93,27
3/1/20,88397,2996,42716,42685,48237,3.39,48.32,7.01,67
3/10/20,119036,4267,64404,50365,30639,3.58,54.1,6.63,106
3/11/20,126717,4611,67002,55104,7681,3.64,52.88,6.88,112
3/12/20,132506,4917,68324,59265,5789,3.71,51.56,7.2,114
3/13/20,146887,5414,70251,71222,14381,3.69,47.83,7.71,121
3/14/20,157965,5834,72622,79509,11078,3.69,45.97,8.03,135
3/15/20,169258,6475,76032,86751,11293,3.83,44.92,8.52,139
3/16/20,184002,7153,78086,98763,14744,3.89,42.44,9.16,144
3/17/20,199932,7964,80838,111130,15930,3.98,40.43,9.85,147
3/18/20,219462,8867,83321,127274,19530,4.04,37.97,10.64,151
3/19/20,246618,9981,84958,151679,27156,4.05,34.45,11.75,155
3/2/20,90375,3085,45602,41688,0,3.41,50.46,6.77,74
3/20/20,277253,11460,87403,178390,186878,4.13,31.52,13.11,162
3/21/20,309223,13180,91670,204373,31970,4.26,29.65,14.38,164
3/22/20,343456,14854,97885,230717,34233,4.32,28.5,15.17,169
3/23/20,386823,16797,98351,271675,43367,4.34,25.43,17.08,170
3/24/20,428295,19079,107992,301224,41487,4.45,25.21,17.67,172
3/25/20,479279,21877,113775,343627,50984,4.56,23.74,19.23,175
3/26/20,542006,24893,122145,394968,62727,4.59,22.54,20.38,175
3/27/20,606988,28388,130921,447679,64982,4.68,21.57,21.68,176
3/28/20,674380,32102,139424,502854,67392,4.76,20.67,23.02,177
3/29/20,733777,35572,148891,549314,59397,4.85,20.29,23.89,177
3/3/20,92959,3160,48228,41571,0,3.4,51.88,6.55,77
3/30/20,799018,39620,164337,595061,706059,4.96,20.57,24.11,178
3/31/20,875842,44365,177825,653652,76824,5.07,20.3,24.95,180
3/4/20,95276,3255,51170,40851,0,3.42,53.71,6.36,81
3/5/20,98040,3348,53796,40896,2764,3.41,54.87,6.22,85
3/6/20,102040,3460,55865,42715,4000,3.39,54.75,6.19,94
3/7/20,106102,3559,58359,44184,4062,3.35,55.0,6.1,95
3/8/20,110062,3803,60694,45565,3960,3.46,55.15,6.27,100
3/9/20,114025,3987,62493,47545,3963,3.5,54.81,6.38,103
4/1/20,952368,49863,192918,709587,838343,5.24,20.26,25.85,180
4/10/20,1678316,109629,375509,1193178,725948,6.53,22.37,29.19,185
4/11/20,1754531,115854,401766,1236911,76215,6.6,22.9,28.84,185
4/12/20,1849884,121671,421180,1307033,95374,6.58,22.77,28.89,185
4/13/20,1920029,127587,448347,1344095,70145,6.65,23.35,28.46,185
4/14/20,1991375,134567,473436,1383372,71346,6.76,23.77,28.42,185
4/15/20,2073248,142918,510106,1420224,81873,6.89,24.6,28.02,185
4/16/20,2170168,150221,540926,1479021,96920,6.92,24.93,27.77,185
4/17/20,2257981,158588,567049,1532344,87813,7.02,25.11,27.97,185
4/18/20,2331375,164601,590968,1575806,73395,7.06,25.35,27.85,185
4/19/20,2411347,169862,622623,1618862,79972,7.04,25.82,27.28,185
4/2/20,1033702,56101,209967,767634,0,5.43,20.31,26.72,181
4/20/20,2485850,175726,644613,1665511,1452148,7.07,25.93,27.26,185
4/21/20,2561729,182917,679456,1699356,75879,7.14,26.52,26.92,185
4/22/20,2639748,189644,709881,1740223,80207,7.18,26.89,26.71,185
4/23/20,2727991,196485,738661,1792845,88243,7.2,27.08,26.6,185
4/24/20,2812178,203142,788712,1820324,94221,7.22,28.05,25.76,185
4/25/20,2895859,208774,816491,1870594,83681,7.21,28.2,25.57,185
4/26/20,2968049,212708,845096,1910245,72191,7.17,28.47,25.17,185
4/27/20,3037754,217382,872865,1947507,69705,7.16,28.73,24.9,185
4/28/20,3113246,223929,906136,1983181,75597,7.19,29.11,24.71,185
4/29/20,3190735,230657,948318,2011760,80001,7.23,29.72,24.32,185
4/3/20,1116958,62205,225415,829338,0,5.57,20.18,27.6,181
4/30/20,3274139,236559,1013284,2024296,2157181,7.23,30.95,23.35,187
4/4/20,1197315,68351,245832,883132,0,5.71,20.53,27.8,181
4/5/20,1269291,73540,259672,936079,71976,5.79,20.46,28.32,183
4/6/20,1342524,79481,276252,986791,73233,5.92,20.58,28.77,184
4/7/20,1420265,87712,299643,1032910,77741,6.18,21.1,29.27,184
4/8/20,1504296,94464,328359,1081473,84031,6.28,21.83,28.77,184
4/9/20,1590776,102237,353707,1134832,86480,6.43,22.23,28.9,184
5/1/20,3361356,241722,1051537,2068097,1770580,7.19,31.28,22.99,187
5/10/20,4106229,285874,1404527,2415828,744877,6.96,34.2,20.35,187
5/11/20,4183146,289354,1451521,2442271,76974,6.92,34.7,19.93,187
5/12/20,4267441,294889,1488542,2484010,84315,6.91,34.88,19.81,187
5/13/20,4352288,299981,1544398,2507909,85012,6.89,35.48,19.42,188
5/14/20,4449054,305171,1584114,2559769,96767,6.86,35.61,19.26,188
5/15/20,4545482,310304,1632122,2603056,96428,6.83,35.91,19.01,188
5/16/20,4639704,314424,1688714,2636566,94222,6.78,36.4,18.62,188
5/17/20,4717128,317712,1729621,2669795,77424,6.74,36.67,18.37,188
5/18/20,4805859,321412,1782542,2701905,88731,6.69,37.09,18.03,188
5/19/20,4903092,326158,1834647,2742287,97442,6.65,37.42,17.78,188
5/2/20,3441576,247205,1092416,2101955,0,7.18,31.74,22.63,187
5/20/20,5005903,330926,1893575,2781402,1564327,6.61,37.83,17.48,188
5/21/20,5112508,335657,1944840,2832011,106709,6.57,38.04,17.26,188
5/22/20,5218600,340851,2053491,2824258,106092,6.53,39.35,16.6,188
5/23/20,5323287,344742,2108462,2870083,104687,6.48,39.61,16.35,188
5/24/20,5417853,347870,2163902,2906081,94566,6.42,39.94,16.08,188
5/25/20,5504248,349062,2227625,2927561,86767,6.34,40.47,15.67,188
5/26/20,5597560,353180,2282839,2961541,93532,6.31,40.78,15.47,188
5/27/20,5700620,358326,2346232,2996062,103060,6.29,41.16,15.27,188
5/28/20,5820202,362944,2413089,3044169,119582,6.24,41.46,15.04,188
5/29/20,5941244,367536,2490435,3083273,121042,6.19,41.92,14.76,188
5/3/20,3518135,250694,1124732,2142709,0,7.13,31.97,22.29,187
5/30/20,6078261,371610,2560888,3145763,2560126,6.11,42.13,14.51,188
5/31/20,6184917,374478,2637208,3173231,106656,6.05,42.64,14.2,188
5/4/20,3595235,254808,1158819,2181608,0,7.09,32.23,21.99,187
5/5/20,3675767,260714,1195359,2219694,80532,7.09,32.52,21.81,187
5/6/20,3765725,267277,1241365,2257083,89958,7.1,32.96,21.53,187
5/7/20,3854800,272579,1280833,2301388,90658,7.07,33.23,21.28,187
5/8/20,3946080,278054,1317383,2350643,92760,7.05,33.38,21.11,187
5/9/20,4031014,282287,1370933,2377794,84934,7.0,34.01,20.59,187
6/1/20,6280511,377554,2692105,3210852,2249538,6.01,42.86,14.02,188
6/10/20,7387034,417623,3454832,3514579,1106523,5.65,46.77,12.09,188
6/11/20,7525216,422322,3540714,3562180,138182,5.61,47.05,11.93,188
6/12/20,7653814,426545,3620438,3606831,128598,5.57,47.3,11.78,188
6/13/20,7789270,430722,3706372,3652176,135456,5.53,47.58,11.62,188
6/14/20,7922027,434129,3777157,3710741,132757,5.48,47.68,11.49,188
6/15/20,8041844,437559,3857365,3746920,119817,5.44,47.97,11.34,188
